date,location,count
2022-03-31,Donetska,4.0
2022-04-01,Donetska,3.0
2022-04-02,Donetska,1.0
2022-04-04,Donetska,2.0
2022-04-08,Donetska,16.0
2022-04-15,Donetska,1.0
2022-04-19,Donetska,1.0
2022-03-01,Zhytomyrska,7.0
2022-03-06,Zhytomyrska,1.0
2022-03-10,Zakarpatska,2.0
2022-03-16,Zakarpatska,1.0
2022-03-19,Zakarpatska,6.0
2022-03-20,Zakarpatska,4.0
2022-03-21,Zakarpatska,4.0
2022-03-24,Zakarpatska,3.0
2022-03-27,Zakarpatska,2.0
2022-03-04,Kyivska,2.0
2022-03-27,Kyivska,1.0
2022-03-31,Luhanska,1.0
2022-03-28,Khersonska,1.0
2022-04-11,Khersonska,1.0
2022-03-01,General,1.0
2022-03-10,General,1.0
2022-03-18,General,4.0
