date,location,count
2022-03-06,Vinnytska,3.0
2022-04-25,Vinnytska,18.0
2022-02-24,Volynska,1.0
2022-03-11,Volynska,6.0
2022-03-11,Dnipropetrovska,1.0
2022-03-29,Dnipropetrovska,1.0
2022-04-02,Dnipropetrovska,3.0
2022-04-10,Dnipropetrovska,7.0
2022-04-17,Dnipropetrovska,1.0
2022-04-18,Dnipropetrovska,2.0
2022-04-21,Dnipropetrovska,5.0
2022-02-25,Donetska,3.0
2022-02-26,Donetska,73.0
2022-02-27,Donetska,3.0
2022-02-28,Donetska,32.0
2022-03-01,Donetska,25.0
2022-03-03,Donetska,72.0
2022-03-04,Donetska,5.0
2022-03-05,Donetska,6.0
2022-03-06,Donetska,12.0
2022-03-07,Donetska,4.0
2022-03-08,Donetska,6.0
2022-03-09,Donetska,23.0
2022-03-10,Donetska,5.0
2022-03-11,Donetska,4.0
2022-03-13,Donetska,38.0
2022-03-14,Donetska,4.0
2022-03-15,Donetska,4.0
2022-03-16,Donetska,10.0
2022-03-17,Donetska,17.0
2022-03-18,Donetska,38.0
2022-03-19,Donetska,3.0
2022-03-20,Donetska,5.0
2022-03-21,Donetska,28.0
2022-03-22,Donetska,8.0
2022-03-23,Donetska,6.0
2022-03-24,Donetska,5.0
2022-03-25,Donetska,6.0
2022-03-26,Donetska,2.0
2022-03-27,Donetska,2.0
2022-03-28,Donetska,3.0
2022-03-29,Donetska,3.0
2022-03-30,Donetska,9.0
2022-03-31,Donetska,22.0
2022-04-01,Donetska,6.0
2022-04-02,Donetska,6.0
2022-04-03,Donetska,6.0
2022-04-04,Donetska,16.0
2022-04-05,Donetska,7.0
2022-04-06,Donetska,9.0
2022-04-07,Donetska,3.0
2022-04-08,Donetska,114.0
2022-04-09,Donetska,5.0
2022-04-10,Donetska,4.0
2022-04-12,Donetska,1.0
2022-04-13,Donetska,11.0
2022-04-14,Donetska,13.0
2022-04-15,Donetska,2.0
2022-04-16,Donetska,1.0
2022-04-17,Donetska,4.0
2022-04-18,Donetska,5.0
2022-04-19,Donetska,5.0
2022-04-20,Donetska,8.0
2022-04-21,Donetska,5.0
2022-04-22,Donetska,7.0
2022-04-23,Donetska,9.0
2022-04-24,Donetska,5.0
2022-04-25,Donetska,9.0
2022-03-01,Zhytomyrska,16.0
2022-03-02,Zhytomyrska,26.0
2022-03-06,Zhytomyrska,10.0
2022-03-08,Zhytomyrska,2.0
2022-03-09,Zhytomyrska,2.0
2022-03-10,Zhytomyrska,6.0
2022-03-14,Zhytomyrska,4.0
2022-03-15,Zhytomyrska,1.0
2022-03-20,Zhytomyrska,3.0
2022-03-24,Zhytomyrska,1.0
2022-02-28,Zaporizka,1.0
2022-03-01,Zaporizka,4.0
2022-03-02,Zaporizka,1.0
2022-03-10,Zaporizka,2.0
2022-03-16,Zaporizka,5.0
2022-03-18,Zaporizka,17.0
2022-03-19,Zaporizka,6.0
2022-03-20,Zaporizka,4.0
2022-03-21,Zaporizka,8.0
2022-03-24,Zaporizka,3.0
2022-03-26,Zaporizka,2.0
2022-03-27,Zaporizka,2.0
2022-03-29,Zaporizka,3.0
2022-04-07,Zaporizka,1.0
2022-04-11,Zaporizka,1.0
2022-04-15,Zaporizka,5.0
2022-04-16,Zaporizka,2.0
2022-04-18,Zaporizka,4.0
2022-04-21,Zaporizka,8.0
2022-04-26,Zaporizka,4.0
2022-04-28,Zaporizka,3.0
2022-02-24,Kyivska,1.0
2022-02-25,Kyivska,8.0
2022-02-26,Kyivska,10.0
2022-02-28,Kyivska,8.0
2022-03-01,Kyivska,5.0
2022-03-03,Kyivska,1.0
2022-03-04,Kyivska,2.0
2022-03-06,Kyivska,2.0
2022-03-11,Kyivska,6.0
2022-03-12,Kyivska,1.0
