date,location,count
2022-03-06,Vinnytska,7.0
2022-04-25,Vinnytska,5.0
2022-03-11,Volynska,4.0
2022-03-11,Dnipropetrovska,1.0
2022-03-22,Dnipropetrovska,1.0
2022-04-10,Dnipropetrovska,4.0
2022-04-24,Dnipropetrovska,1.0
2022-04-25,Dnipropetrovska,1.0
2022-02-26,Donetska,26.0
2022-02-27,Donetska,2.0
2022-02-28,Donetska,4.0
2022-03-01,Donetska,1.0
2022-03-02,Donetska,3.0
2022-03-03,Donetska,1.0
2022-03-04,Donetska,7.0
2022-03-05,Donetska,1.0
2022-03-06,Donetska,3.0
2022-03-07,Donetska,1.0
2022-03-08,Donetska,1.0
2022-03-09,Donetska,4.0
2022-03-10,Donetska,5.0
2022-03-11,Donetska,2.0
2022-03-13,Donetska,1.0
2022-03-14,Donetska,7.0
2022-03-15,Donetska,6.0
2022-03-16,Donetska,1.0
2022-03-17,Donetska,3.0
2022-03-18,Donetska,13.0
2022-03-19,Donetska,1.0
2022-03-20,Donetska,3.0
2022-03-21,Donetska,6.0
2022-03-22,Donetska,4.0
2022-03-23,Donetska,1.0
2022-03-24,Donetska,6.0
2022-03-25,Donetska,1.0
2022-03-26,Donetska,1.0
2022-03-28,Donetska,1.0
2022-03-31,Donetska,7.0
2022-04-01,Donetska,7.0
2022-04-02,Donetska,2.0
2022-04-03,Donetska,1.0
2022-04-04,Donetska,2.0
2022-04-06,Donetska,5.0
2022-04-07,Donetska,1.0
2022-04-08,Donetska,57.0
2022-04-09,Donetska,5.0
2022-04-10,Donetska,2.0
2022-04-11,Donetska,1.0
2022-04-14,Donetska,4.0
2022-04-16,Donetska,1.0
2022-04-17,Donetska,2.0
2022-04-18,Donetska,4.0
2022-04-19,Donetska,3.0
2022-04-20,Donetska,2.0
2022-04-22,Donetska,3.0
2022-04-23,Donetska,4.0
2022-04-24,Donetska,5.0
2022-04-25,Donetska,4.0
2022-03-01,Zhytomyrska,4.0
2022-03-02,Zhytomyrska,2.0
2022-03-06,Zhytomyrska,2.0
2022-03-08,Zhytomyrska,7.0
2022-03-10,Zhytomyrska,1.0
2022-03-15,Zhytomyrska,1.0
2022-02-28,Zaporizka,1.0
2022-03-01,Zaporizka,3.0
2022-03-05,Zaporizka,2.0
2022-03-06,Zaporizka,3.0
2022-03-18,Zaporizka,9.0
2022-04-15,Zaporizka,1.0
2022-04-23,Zaporizka,3.0
2022-04-26,Zaporizka,1.0
